Tresasury,Date,Price,,Corporate,Date,Price,,,10year,Date,Price,,index,Date,Price,,ER,Date,Open,Close,Mean,,GDP,100 million yuan,CPI,,,,M1,,
,Feb 17,160.02,,,Feb 17,179.54,19.52,,,Feb 17,3.358,,,Feb 17,3241.73,,,2017-12-01,6.6111,6.5057,6.5584,,,,,101.8,,,,"1639497.05	",
,Jan 17,159.71,,,Jan 17,179.61,19.9,,,Jan 17,3.363,,,Jan 17,3159.17,,,2018-01-01,6.5057,6.3211,6.4134,6.34145,,,,101.5,102.1666667,,,1636341.11,1650984.82
,Dec 16,159.82,,,Dec 16,179.5,19.68,19.47,,Dec 16,3.066,2.917666667,,Dec 16,3103.64,3151.39,,2018-02-01,6.2892,6.3167,6.30295,,,,,102.9,,,,1652947.3,
,Nov 16,160.35,,,Nov 16,180.11,19.76,,,Nov 16,2.943,,,Nov 16,3250.03,,,2018-03-01,6.3304,6.2856,6.308,,,,,102.1,,,,1663666.05,
,Oct 16,160.73,,,Oct 16,179.7,18.97,,,Oct 16,2.744,,,Oct 16,3100.49,,,2018-04-01,6.2856,6.337,6.3113,6.400016667,,,,101.8,101.8666667,,,"1662449.96	",1679156.64
,Sep 16,159.73,,,Sep 16,178.81,19.08,18.75333333,,Sep 16,2.769,2.793,,Sep 16,3004.7,3023.18,,2018-05-01,6.3318,6.418,6.3749,,,,,101.9,,,,1679156.64,
,Aug 16,159.22,,,Aug 16,178.08,18.86,,,Aug 16,2.805,,,Aug 16,3085.49,,,2018-06-01,6.4003,6.6274,6.51385,,,,,101.9,,,,"1690235.31	",
,Jul 16,158.44,,,Jul 16,176.76,18.32,,,Jul 16,2.805,,,Jul 16,2979.34,,,2018-07-01,6.6215,6.8149,6.7182,6.800416667,,,,102.1,102.3,,,"1720814.46	",1734464.8
,Jun 16,157.67,,,Jun 16,175.48,17.81,17.68333333,,Jun 16,2.875,2.938666667,,Jun 16,2929.61,2928.18,,2018-08-01,6.8118,6.8431,6.82745,,,,,102.3,,,,1729070.12,
,May 16,157.18,,,May 16,174.72,17.54,,,May 16,2.995,,,May 16,2916.62,,,2018-09-01,6.8432,6.868,6.8556,,,,,102.5,,,,1739859.48,
,Apr 16,156.68,,,Apr 16,174.38,17.7,,,Apr 16,2.946,,,Apr 16,2938.32,,,2018-10-01,6.868,6.9663,6.91715,6.928216667,,,,102.5,102.2,,,1737683.73,1750308.63
,Mar 16,156.63,,,Mar 16,174.27,17.64,17.25666667,,Mar 16,2.886,2.901333333,,Mar 16,3003.92,2809.83,,2018-11-01,6.9747,6.9415,6.9581,,,,,102.2,,,,1743063.79,
,Feb 16,155.72,,,Feb 16,172.93,17.21,,,Feb 16,2.909,,,Feb 16,2687.98,,,2018-12-01,6.9416,6.8772,6.9094,,,,,101.9,,,,1770178.37,
,Jan 16,155.2,,,Jan 16,172.12,16.92,,,Jan 16,2.909,,,Jan 16,2737.6,,,2019-01-01,6.8776,6.7155,6.79655,6.7305,,,,101.7,101.8333333,,,1776196.11,1788844.04
,Dec 15,154.51,,,Dec 15,171.31,16.8,16.80333333,,Dec 15,2.862,3.012333333,,Dec 15,3539.18,3455.71,,2019-02-01,6.6998,6.6862,6.693,,,,,101.5,,,,1788670.43,
,Nov 15,153.09,,,Nov 15,169.83,16.74,,,Nov 15,3.088,,,Nov 15,3445.4,,,2019-03-01,6.6928,6.7111,6.70195,,,,,102.3,,,,1801665.58,
,Oct 15,152.79,,,Oct 15,169.66,16.87,,,Oct 15,3.087,,,Oct 15,3382.56,,,2019-04-01,6.7021,6.7324,6.71725,6.804716667,,,,102.5,102.6333333,,,1795561.6,1811826.963
,Sep 15,151.62,,,Sep 15,168.69,17.07,16.48666667,,Sep 15,3.276,3.381333333,,Sep 15,3052.78,3307.5,,2019-05-01,6.7339,6.9009,6.8174,,,,,102.7,,,,1813175.07,
,Aug 15,150.91,,,Aug 15,167.46,16.55,,,Aug 15,3.394,,,Aug 15,3205.99,,,2019-06-01,6.8919,6.8671,6.8795,,,,,102.7,,,,1826744.22,
,Jul 15,150.29,,,Jul 15,166.13,15.84,,,Jul 15,3.474,,,Jul 15,3663.73,,,2019-07-01,6.8568,6.8836,6.8702,7.005466667,,,,102.8,102.8666667,,,1865935.33,1874258.307
,Jun 15,149.64,,,Jun 15,164.36,14.72,14.32333333,,Jun 15,3.629,3.547333333,,Jun 15,4277.22,4443.54,,2019-08-01,6.8835,7.1436,7.01355,,,,,102.8,,,,1867427.45,
,May 15,148.91,,,May 15,163.73,14.82,,,May 15,3.591,,,May 15,4611.74,,,2019-09-01,7.1435,7.1218,7.13265,,,,,103,,,,1889412.14,
,Apr 15,148.52,,,Apr 15,161.95,13.43,,,Apr 15,3.422,,,Apr 15,4441.66,,,2019-10-01,7.1384,7.0544,7.0964,7.046633333,,,,103.8,104.2666667,,,1884670.33,1899061.407
,Mar 15,147.97,,,Mar 15,160.84,12.87,12.42333333,,Mar 15,3.623,3.505333333,,Mar 15,3747.9,3422.85,,2019-11-01,7.0382,7.0316,7.0349,,,,,104.5,,,,1891153.7,
,Feb 15,147.62,,,Feb 15,160.14,12.52,,,Feb 15,3.379,,,Feb 15,3310.3,,,2019-12-01,7.0315,6.9857,7.0086,,,,,104.5,,,,1921360.19,
,Jan 15,146.67,,,Jan 15,158.55,11.88,,,Jan 15,3.514,,,Jan 15,3210.36,,,2020-01-01,6.9623,6.9357,6.949,6.949,,,,105.4,105.4,,,1919410.82,1935717.913
,Dec 14,145.68,,,Dec 14,157.1,11.42,11.52333,,,,,,,,,,,,,,,,,,,,,,1935492.43,
,Nov 14,145.37,,,Nov 14,157.27,11.9,,,,,,,,,,,,,,,,,,,,,,,1952250.49,
,Oct 14,114.49,,,Oct 14,115.74,11.25,,,,,,,,,,,,,,,,,,,,,,,1945600.55,1964510.037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961429.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023100,2023100
